ElapsedSeconds,PowerMW,ThroughputTotalMbps,Phase
585.0,8940.0,0.0,pre
590.0,8940.0,0.0,pre
595.0,9010.0,0.0,pre
600.0,9010.0,955.371186393768,load
605.0,9010.0,954.4361385866796,load
610.0,9290.0,954.1830671757992,load
615.0,9290.0,954.6579787948715,load
620.0,9290.0,955.440952769636,load
625.0,9290.0,955.18453642632,load
630.0,9290.0,954.9329416124972,load
635.0,9290.0,954.5404000021181,load
640.0,9220.0,954.8746767303534,load
645.0,9220.0,954.9560809256413,load
650.0,9220.0,954.7091009022715,load
655.0,9220.0,954.3337711741526,load
660.0,9220.0,955.5581907265193,load
665.0,9220.0,955.5005998469904,load
670.0,9220.0,954.3111297946648,load
675.0,9220.0,954.544518514872,load
680.0,9220.0,954.9192646510625,load
685.0,9220.0,954.9510220326541,load
690.0,9220.0,955.3868454327006,load
695.0,9220.0,955.2678683582466,load
700.0,9220.0,954.4985616710561,load
705.0,9220.0,954.6967412096458,load
710.0,9220.0,955.2178112133381,load
715.0,9290.0,955.475370850444,load
720.0,9290.0,954.6254919492001,load
725.0,9290.0,954.6804493764924,load
730.0,9220.0,955.0770419017994,load
735.0,9220.0,954.645994917188,load
740.0,9220.0,955.3409949653069,load
745.0,9220.0,954.9644188477196,load
750.0,9220.0,954.4203235393924,load
755.0,9220.0,955.2257787598662,load
760.0,9220.0,955.0249434103246,load
765.0,9220.0,954.5807442376326,load
770.0,9220.0,954.9827815266021,load
775.0,9290.0,954.3592206186368,load
780.0,9290.0,954.5500411218444,load
785.0,9290.0,955.6160699884463,load
790.0,9220.0,955.0841637199226,load
795.0,9220.0,953.9142381724213,load
800.0,9220.0,955.4162895665572,load
805.0,9220.0,955.2188423001072,load
810.0,9220.0,954.336484469401,load
815.0,9220.0,954.7172472382927,load
820.0,9220.0,955.1001881990437,load
825.0,9220.0,955.1206178469024,load
830.0,9220.0,954.4143345458804,load
835.0,9220.0,954.6856926644133,load
840.0,9220.0,954.9887776563227,load
845.0,9220.0,955.350089697889,load
850.0,9220.0,954.9132693942161,load
855.0,9220.0,955.0347817188742,load
860.0,9220.0,954.7521750593198,load
865.0,9290.0,955.2581189898043,load
870.0,9290.0,954.645901294328,load
875.0,9290.0,955.2499634209925,load
880.0,9220.0,955.4377642990938,load
885.0,9220.0,954.7595729686759,load
890.0,9220.0,956.409168081494,load
895.0,9150.0,954.4890151832715,load
900.0,9150.0,955.2446201927946,load
905.0,9150.0,954.6468375237541,load
910.0,9220.0,954.3699809023178,load
915.0,9220.0,955.1436725358279,load
920.0,9220.0,955.4260421638623,load
925.0,9220.0,954.7282965139013,load
930.0,9220.0,955.6660750607167,load
935.0,9220.0,955.0710446636539,load
940.0,9290.0,954.3991752419637,load
945.0,9290.0,955.4633664425629,load
950.0,9290.0,955.3627476036081,load
955.0,9220.0,955.4417030010917,load
960.0,9220.0,955.4892513230882,load
965.0,9220.0,954.5078275624096,load
970.0,9220.0,955.4496742830709,load
975.0,9220.0,955.357215588735,load
980.0,9220.0,954.4299622336486,load
985.0,9220.0,954.6767978349983,load
990.0,9220.0,955.0625174703459,load
995.0,9220.0,955.2593376499767,load
1000.0,9220.0,954.3565071941038,load
1005.0,9220.0,954.3022419434707,load
1010.0,9220.0,955.1126520545666,load
1015.0,9220.0,955.0770419017994,load
1020.0,9220.0,954.4296814922284,load
1025.0,9220.0,954.9854985135523,load
1030.0,9220.0,954.8675580360576,load
1035.0,9220.0,955.4496742830709,load
1040.0,9220.0,955.5734806766508,load
1045.0,9220.0,955.5522812449966,load
1050.0,9220.0,954.9795961133136,load
1055.0,9220.0,954.9943990963209,load
1060.0,9220.0,955.4954413936164,load
1065.0,9220.0,955.5918667861043,load
1070.0,9220.0,955.0107953409964,load
1075.0,9220.0,955.4305434297719,load
1080.0,9220.0,955.329650232334,load
1085.0,9220.0,954.8639987287125,load
1090.0,9220.0,954.8314978601213,load
1095.0,9220.0,955.1060920900574,load
1100.0,9220.0,955.5928986805625,load
1105.0,9220.0,954.5521004153771,load
1110.0,9220.0,955.0076097408215,load
1115.0,9220.0,955.0845385553976,load
1120.0,9220.0,954.301212834553,load
1125.0,9220.0,954.9683536480323,load
1130.0,9220.0,955.8017624623101,load
1135.0,9220.0,955.3120242395955,load
1140.0,9220.0,955.5777019147176,load
1145.0,9220.0,955.1633542484468,load
1150.0,9220.0,955.466461300111,load
1155.0,9220.0,955.4262297157617,load
1160.0,9220.0,954.7254873517893,load
1165.0,9220.0,954.7295138226174,load
1170.0,9220.0,954.9970224576351,load
1175.0,9220.0,955.573011652501,load
1180.0,9220.0,954.8358998655182,load
1185.0,9220.0,954.6881270676683,load
1190.0,9220.0,955.0044241618988,load
1195.0,9220.0,954.3752207804788,load
1200.0,9220.0,954.9836247277941,load
1205.0,9220.0,954.8103313371515,load
1210.0,9220.0,954.7783023656478,load
1215.0,9220.0,955.3625600766311,load
1220.0,9220.0,954.4372615685461,load
1225.0,9290.0,954.8553815681855,load
1230.0,9290.0,955.3147431003044,load
1235.0,9290.0,955.07591741391,load
1240.0,9220.0,955.6159761752177,load
1245.0,9220.0,954.6211855016332,load
1250.0,9220.0,954.4936948102854,load
1255.0,9290.0,954.3808349995014,load
1260.0,9290.0,954.1187214361237,load
1265.0,9290.0,955.5584721322244,load
1270.0,9220.0,954.8580041657946,load
1275.0,9220.0,955.4574581338269,load
1280.0,9220.0,954.3842035626205,load
1285.0,9220.0,955.0262551730864,load
1290.0,9220.0,955.3701549780848,load
1295.0,9220.0,954.8450786456192,load
1300.0,9220.0,954.4644011006153,load
1305.0,9220.0,954.9807203744007,load
1310.0,9220.0,955.5208590391525,load
1315.0,9220.0,954.5266406831227,load
1320.0,9220.0,953.9954786860532,load
1325.0,9220.0,955.2419017312151,load
1330.0,9220.0,955.1050612466844,load
1335.0,9220.0,954.9335036877868,load
1340.0,9220.0,954.6994565692315,load
1345.0,9220.0,955.8640827265153,load
1350.0,9220.0,954.4970641701481,load
1355.0,9220.0,954.732229368631,load
1360.0,9220.0,955.5448710460635,load
1365.0,9220.0,955.1509827915444,load
1370.0,9220.0,955.3350881698885,load
1375.0,9220.0,954.9691968237465,load
1380.0,9220.0,955.8434335459817,load
1385.0,9220.0,954.9825004598687,load
1390.0,9220.0,954.4565398359915,load
1395.0,9220.0,954.8032136022237,load
1400.0,9220.0,955.0935346950631,load
1405.0,9290.0,955.2682433379301,load
1410.0,9290.0,955.4161957925496,load
1415.0,9290.0,954.7586365181161,load
1420.0,9220.0,954.7307311344372,load
1425.0,9220.0,955.014730523495,load
