ElapsedSeconds,PowerMW,ThroughputTotalMbps,Phase
310.0,4430.0,0.0,pre
315.0,4430.0,0.0,pre
320.0,4430.0,0.0,pre
325.0,4430.0,0.0,pre
330.0,4430.0,0.0,pre
335.0,4430.0,0.0,pre
340.0,4430.0,0.0,pre
345.0,4430.0,0.0,pre
350.0,4430.0,0.0,pre
355.0,4430.0,0.0,pre
360.0,4430.0,0.0,pre
365.0,4430.0,0.0,pre
370.0,4430.0,0.0,pre
375.0,4500.0,0.0,pre
380.0,4500.0,0.0,pre
385.0,4500.0,0.0,pre
390.0,4430.0,0.0,pre
395.0,4430.0,0.0,pre
400.0,4430.0,0.0,pre
405.0,4430.0,0.0,pre
410.0,4430.0,0.0,pre
415.0,4430.0,0.0,pre
420.0,4430.0,0.0,pre
425.0,4430.0,0.0,pre
430.0,4430.0,0.0,pre
435.0,4430.0,0.0,pre
440.0,4430.0,0.0,pre
445.0,4430.0,0.0,pre
450.0,4430.0,0.0,pre
455.0,4430.0,0.0,pre
460.0,4430.0,0.0,pre
465.0,4430.0,0.0,pre
470.0,4430.0,0.0,pre
475.0,4430.0,0.0,pre
480.0,4430.0,0.0,pre
485.0,4430.0,0.0,pre
490.0,4430.0,0.0,pre
495.0,4430.0,0.0,pre
500.0,4430.0,0.0,pre
505.0,4430.0,0.0,pre
510.0,4500.0,0.0,pre
515.0,4500.0,0.0,pre
520.0,4500.0,0.0,pre
525.0,4430.0,0.0,pre
530.0,4430.0,0.0,pre
535.0,4430.0,0.0,pre
540.0,4430.0,0.0,pre
545.0,4430.0,0.0,pre
550.0,4430.0,0.0,pre
555.0,4430.0,0.0,pre
560.0,4430.0,0.0,pre
565.0,4430.0,0.0,pre
570.0,4430.0,0.0,pre
575.0,4430.0,0.0,pre
580.0,4430.0,0.0,pre
585.0,4430.0,0.0,pre
590.0,4430.0,0.0,pre
595.0,4430.0,0.0,pre
600.0,4430.0,954.5795273082585,load
605.0,4430.0,954.7149063229025,load
610.0,4430.0,955.4350447380951,load
615.0,4790.0,954.593475377108,load
620.0,4790.0,954.7643488951057,load
625.0,4790.0,955.2192172413024,load
630.0,4790.0,955.5413066875138,load
635.0,4790.0,955.2904614096454,load
640.0,4790.0,954.9186089161783,load
645.0,4790.0,954.8710237029168,load
650.0,4790.0,954.8682137008312,load
655.0,4790.0,954.8935979864381,load
660.0,4790.0,954.6340113403694,load
665.0,4790.0,954.9036209357947,load
670.0,4790.0,954.9272272179475,load
675.0,4790.0,955.2365585932032,load
680.0,4790.0,954.3231052665014,load
685.0,4790.0,955.5718859964201,load
690.0,4790.0,954.7548907342464,load
695.0,4790.0,955.504632858424,load
700.0,4790.0,955.1893166052361,load
705.0,4790.0,954.4674894900049,load
710.0,4790.0,954.4255639703725,load
715.0,4790.0,954.9841868627495,load
720.0,4790.0,954.9982404517158,load
725.0,4790.0,954.9920568216121,load
730.0,4790.0,954.962451459723,load
735.0,4790.0,954.6396286045426,load
740.0,4790.0,955.0483682877338,load
745.0,4790.0,954.7863562322692,load
750.0,4790.0,954.8462025900037,load
755.0,4790.0,955.3438077507026,load
760.0,4790.0,954.938281354462,load
765.0,4790.0,955.1560438033599,load
775.0,4790.0,954.1244261583574,load
780.0,4790.0,954.955987241951,load
785.0,4790.0,954.7372859437513,load
790.0,4790.0,955.3855326791854,load
795.0,4790.0,955.8149016009821,load
800.0,4790.0,954.9510220326541,load
805.0,4790.0,954.6760488042983,load
810.0,4790.0,954.9654493875245,load
815.0,4790.0,954.9834373496228,load
820.0,4790.0,954.9777223507178,load
825.0,4790.0,955.0017070672584,load
830.0,4790.0,954.9259157272083,load
835.0,4790.0,954.726891930779,load
845.0,4790.0,954.3257249410302,load
850.0,4790.0,954.5249558958114,load
855.0,4790.0,954.2477022292185,load
860.0,4790.0,955.0436832203219,load
865.0,4790.0,955.3442765498786,load
870.0,4790.0,954.9634819952817,load
875.0,4790.0,954.8635304007742,load
880.0,4790.0,954.8907878514876,load
885.0,4790.0,954.7434662749712,load
890.0,4790.0,955.4290430030896,load
895.0,4790.0,954.9405296847336,load
900.0,4790.0,955.3311503468553,load
905.0,4790.0,955.033563631583,load
910.0,4790.0,954.8769247611301,load
915.0,4790.0,954.2122500809452,load
920.0,4790.0,954.8842309342572,load
925.0,4790.0,954.7765230413473,load
930.0,4790.0,954.421540062884,load
935.0,4790.0,954.3572557234684,load
940.0,4790.0,955.1492020779198,load
945.0,4790.0,955.2567128473153,load
950.0,4790.0,954.9199203868473,load
955.0,4790.0,955.4250106297316,load
960.0,4860.0,954.8331837297329,load
965.0,4860.0,954.3241344226368,load
970.0,4860.0,954.880484164841,load
975.0,4790.0,954.463745990284,load
980.0,4790.0,955.4717132254656,load
985.0,4790.0,955.5017253351285,load
990.0,4860.0,954.9520525435452,load
995.0,4860.0,954.9801582435263,load
1000.0,4860.0,954.0951551098959,load
1005.0,4790.0,955.0163233446785,load
1010.0,4790.0,954.8634367352415,load
1015.0,4790.0,955.0152926950707,load
1020.0,4790.0,955.2197796536473,load
1025.0,4790.0,954.7738072433588,load
1030.0,4790.0,954.8596901290076,load
1035.0,4790.0,954.9566430281709,load
1040.0,4790.0,955.1604488017438,load
1045.0,4790.0,954.7831721292252,load
1050.0,4790.0,955.6180400705023,load
1055.0,4790.0,955.4845619291132,load
1060.0,4790.0,955.613161786924,load
1065.0,4790.0,955.1179938065161,load
1070.0,4790.0,954.7531114972046,load
1075.0,4790.0,954.9703210603482,load
1080.0,4790.0,954.9633883101388,load
1085.0,4790.0,955.4071935735195,load
1090.0,4790.0,954.4553232232759,load
1095.0,4790.0,955.6460911676531,load
1100.0,4790.0,955.5784523609452,load
1105.0,4790.0,954.8876967221453,load
1110.0,4790.0,955.5065086892952,load
1115.0,4790.0,954.9188899453042,load
1120.0,4790.0,954.6391604966699,load
1125.0,4790.0,954.9308806754304,load
1130.0,4790.0,954.7944102347659,load
1135.0,4790.0,955.2816490550035,load
1140.0,4790.0,954.3695130588513,load
1145.0,4790.0,954.7591983882315,load
1150.0,4790.0,955.4541757716581,load
1155.0,4790.0,954.7579810038172,load
1160.0,4790.0,954.965917815444,load
1165.0,4790.0,954.7932864123069,load
1170.0,4860.0,954.5543469275466,load
1175.0,4860.0,954.8913498771543,load
1180.0,4860.0,955.1630730754127,load
1185.0,4860.0,955.5118548476865,load
1190.0,4860.0,954.8544449296738,load
1195.0,4860.0,955.4675867078265,load
1200.0,4790.0,954.9194520040518,load
1205.0,4790.0,954.9950549352982,load
1210.0,4790.0,955.0615804254219,load
1215.0,4790.0,954.2756729334089,load
1220.0,4790.0,955.1991583007165,load
1225.0,4790.0,955.3600284696474,load
