ElapsedSeconds,Throughput_Ethernet_Mbps,Throughput_Ethernet_6_Mbps
1889.845,95.4716679175103,95.4860258362395
1894.844,95.49634882409585,95.45598415664539
1899.844,2136.229382958961,95.46753153795433
1904.844,125.12523884028857,95.54890387362319
1909.843,95.49858576566623,95.48131784608366
1914.843,95.47108862176576,95.47302566945896
1919.843,95.4707084627539,2538.3061190985954
1924.843,95.40281720030772,95.46948654357799
1929.842,95.54297494533986,95.44800397870631
1934.842,95.49537981716139,95.4827211407346
1939.842,95.44164431621063,95.45949513375481
1944.842,126.36911022482617,95.53731867214405
1949.841,95.43014841448704,95.51196432016471
1954.841,95.46991194892708,95.42739017186733
1959.841,95.42677524115116,95.54091721716983
1964.841,95.49653900533544,95.5372189682069
1969.84,95.50138435430213,95.50147492625368
1974.84,95.52555504393166,95.5207072420733
1979.84,95.47260928808915,95.42421612932235
1984.84,95.53025833503384,95.53671138775339
1989.839,95.44168049965963,95.50687332482269
1994.839,95.51508984418017,95.48384380615468
1999.839,95.4319933608373,95.50294221580347
2004.839,95.5306117802418,95.51075946263533
2009.838,95.52986864206676,95.45055531905999
2014.838,95.51505360504848,95.40345893814823
2019.838,95.5596122583364,95.44547086790573
2024.838,95.46718761006188,95.45855402177098
2029.837,95.44947867298578,95.54806072426385
2034.837,95.42606084630036,117.24921093502111
2039.837,95.4969918208595,95.45263630048045
2044.837,95.46319641760846,95.51040616431145
2049.836,95.45688902294879,95.49588695852479
2054.836,95.46910639732471,95.52447670526539
2059.836,95.51551565603746,95.4266486387522
2064.836,95.53327629752201,95.47973353072922
2069.835,95.5499555646478,95.4569523642325
2074.835,95.44278410803413,95.56195192009403
2079.835,95.52531037672085,95.53624006787585
2084.835,95.46148600871408,95.43174917266555
2089.834,95.55639314357032,95.44122820851885
2094.834,95.51436506677095,95.43856882331747
2099.834,95.47134206278896,95.4779229489885
2104.834,95.55686466231623,95.50555989986537
2109.833,95.55563146927203,95.57609208179481
2114.833,95.51360406232925,95.45837304082457
2119.833,95.45916936212198,95.44293789155492
2124.833,95.56476329312147,95.51861423111554
2129.832,95.49827784036373,95.47691810575323
2134.832,95.471975671234,95.54005607970703
2139.832,95.52212981702863,95.49720011744257
2144.832,95.50922852210861,95.48561839566388
2149.831,95.45423781318385,95.52208451144048
2154.831,95.49288946899463,95.49969069045117
2159.831,95.51448284235148,95.49485456928491
2164.831,95.56744785530041,95.55488794178828
2169.83,95.5221026336706,95.40643273745684
2174.83,95.50582258196683,95.48913155311226
2179.83,95.52267348743814,95.52298157008399
2184.83,100.49410486814796,95.51332321851535
2189.829,95.52639779614012,115.42914647789404
2194.829,95.4378090261949,95.411847516823
2199.829,95.53444546936862,95.48151702087715
2204.829,95.41220008637384,95.5168837155699
2209.828,95.54219535507538,95.57319840479758
2214.828,95.42899083751213,95.4962310932319
2219.828,95.46457202901843,95.55127927763797
2224.828,102.85283036041041,95.48470393058747
2229.827,95.4907524010378,95.53182620165666
2234.827,95.50823207831168,95.5184239619403
2239.827,95.45770341728971,95.45583033107985
2244.827,95.47104336458179,95.45944083832823
2249.826,95.48748359655185,95.51557907514955
2254.826,95.46770350282982,95.47135111427897
2259.826,95.5124988155692,95.50362153178973
2264.826,2193.6823715154387,95.44617650668958
2269.825,127.03279714533465,95.50931910893935
2274.825,95.53955753353422,95.49932841721268
2279.825,95.49442894162314,95.42169332304374
2284.825,95.46168510077733,95.42965101468965
2289.824,95.48919493719283,95.41252553750272
2294.824,95.4695499015812,95.49918350868685
2299.824,95.42361028195201,95.52828271511561
2304.824,2492.3326657679227,116.79570534212154
2309.823,95.49149493075531,95.47135111427897
2314.823,95.49447422098129,95.50568671173394
2319.823,95.53863297076751,95.5230540604071
2324.823,95.52117840870316,95.44564275331493
2329.822,95.46921501023101,95.47233773697853
2334.822,95.48926737624512,95.46789356999194
2339.822,95.53053927844745,95.44727117211697
2344.822,95.5231990413834,2474.436525105144
2349.821,95.51305143575183,95.4979065213165
2354.821,95.49822350081061,95.44940629428906
2359.821,95.55494234584597,95.44987675777983
2364.821,95.46010143688027,95.53204371323007
2369.82,95.54710879932291,95.44560656686154
2374.82,95.51770819421341,95.45203009217879
2379.82,95.50699108192829,95.43324145323142
2384.82,95.54534098903972,95.47160455669584
2389.819,95.49278080221403,95.5030780782276
2394.819,95.5201907762998,95.46307876847287
2399.819,95.47914508413136,95.44799493164278
2404.819,95.47643832320045,95.42779711566955
2409.818,95.43564728865363,95.41201024090729
2414.818,95.5226916098917,95.51879544055858
2419.818,95.46127786789951,95.46694324174943
2424.818,95.49027247943744,95.56718483409803
2429.817,95.48987405762267,95.45673519446692
2434.817,95.42736304240391,95.54266673371468
2439.817,95.46432767409603,95.48399772202009
2444.817,95.50260709014331,95.44571512630401
2449.816,95.40057570488985,95.44908059151221
2454.816,95.50661063694119,95.48879652436983
2459.816,95.49538887320995,2188.9671320435464
2464.816,95.53341224626641,124.86200515403951
2469.815,95.50133906839078,95.46356746678158
2474.815,95.50579540788934,95.51793470182754
2479.815,95.54603903964366,95.56375662118793
2484.815,95.58687007562338,95.54481519142372
2489.815,95.50172852863196,95.55461592242914
2494.814,95.5151532627268,95.49816010474345
2499.814,95.50123038237876,95.47775094729472
2504.814,95.52434078195121,95.51480899162877
2509.814,95.47557834767342,95.49856765235818
2514.813,95.53871454911537,95.49825067057944
2519.813,95.54061808344946,95.54585772681789
2524.813,95.4433268756137,95.50507077152683
2529.813,95.4459774793095,95.48300180461463
2534.812,95.48975634272276,95.46522364826048
2539.812,95.47737978785649,63.968672761144575
2544.812,95.47511668299175,95.5712572902135
2549.812,95.52205732810826,95.48318287896127
2554.811,95.43496893931955,95.52039011330497
2559.811,95.50933722632611,95.58060076159455
2564.811,95.55497861525218,95.49970880418526
2569.811,95.51517138232704,95.49597752004934
2574.81,95.5333941197448,95.51997331869755
2579.81,95.5214502377194,95.4588978874598
2584.81,95.4448376112138,95.52747617818
2589.81,95.48502987652654,95.45019341850995
2594.809,95.5418418241483,95.4904354711381
2599.809,95.48040346337766,95.47892781337485
2604.809,95.43260835880672,95.50239876997244
2609.809,95.46078014354495,95.55781678166119
2614.808,95.50366681986576,2526.3929005814657
2619.808,95.56836390596227,95.52889895476133
2624.808,95.55051768486182,95.47425673127302
2629.808,487.9927259129255,95.48815363796162
2634.807,95.5195927702761,95.48853393591787
2639.807,95.49203825249889,95.5058678721304
2644.807,95.50039713117184,95.4649883402858
2649.807,95.44648409609141,95.49590507081594
2654.806,95.5101706335476,95.483146664037
2659.806,95.54927558935725,95.50339509205388
2664.806,95.46156745536685,95.50526098750758
2669.806,95.51703773797165,95.432590270518
2674.805,95.4902815345173,95.44614031983147
2679.805,95.44352589193963,95.49483645739224
