ElapsedSeconds,PowerMW,ThroughputTotalMbps,Phase
3295.0,8860.0,2894.0120617691823,load
3300.0,8790.0,2837.005794332152,load
3305.0,8790.0,2886.747096852376,load
3310.0,8790.0,2836.514336587181,load
3315.0,8790.0,2890.858868362556,load
3320.0,8790.0,2831.8528442033776,load
3325.0,8790.0,2889.335138865806,load
3330.0,8790.0,2838.2328886590917,load
3335.0,8790.0,2886.3931284619807,load
3340.0,8790.0,2885.745411524442,load
3345.0,8790.0,2883.3306581813376,load
3350.0,8790.0,2836.2599411423525,load
3355.0,8940.0,2890.951305330046,load
3360.0,8940.0,2838.19226801807,load
3365.0,8940.0,2891.449371981333,load
3370.0,8860.0,2838.6129220943812,load
3375.0,8860.0,2895.6138585340723,load
3380.0,8860.0,2842.2326872200892,load
3385.0,8860.0,2894.4070613125577,load
3390.0,8860.0,2840.8880205355645,load
3395.0,8860.0,2891.442156259483,load
3400.0,8790.0,2835.3136953136236,load
3405.0,8790.0,2897.7668441744627,load
3410.0,8790.0,2841.074958638529,load
3415.0,8790.0,2889.1887352331896,load
3420.0,8790.0,2845.9329211896993,load
3425.0,8790.0,2884.8603445402237,load
3430.0,8790.0,2835.9631798896353,load
3435.0,8790.0,2893.7878972974368,load
3440.0,8790.0,2836.31902559733,load
3445.0,8790.0,2890.4654183838024,load
3450.0,8790.0,2834.737198344518,load
3455.0,8790.0,2896.79672748018,load
3460.0,8790.0,2837.502117981011,load
3465.0,9080.0,2897.8386623857928,load
3470.0,9080.0,2837.0749483279747,load
3475.0,9080.0,2892.1805504502045,load
3480.0,8940.0,2839.851973920125,load
3485.0,8940.0,2889.42520368452,load
3490.0,8940.0,2836.017892876239,load
3495.0,8940.0,2886.4865913342715,load
3500.0,8940.0,2844.3231124215254,load
3505.0,8860.0,2894.034659836321,load
3510.0,8860.0,2837.422874609254,load
3515.0,8860.0,2894.1879329178823,load
3520.0,8790.0,2834.962912392334,load
3525.0,8790.0,2896.9131384200537,load
3530.0,8790.0,2836.6049455611583,load
3535.0,8860.0,2896.9199983207623,load
3540.0,8860.0,2832.8657536681712,load
3545.0,8860.0,2895.6293422459594,load
3550.0,8790.0,2833.3560018106878,load
3555.0,8790.0,2890.865504706571,load
3560.0,8790.0,2837.1148497097315,load
3565.0,8790.0,2892.0440341376216,load
3570.0,8790.0,2840.336873553751,load
3575.0,8790.0,2890.8673650676474,load
3580.0,8790.0,2840.4768650907035,load
3585.0,8790.0,2842.030907295459,load
3590.0,8790.0,2841.166644371314,load
3595.0,8790.0,2892.694538399478,load
3600.0,8790.0,2837.0197528491103,load
3605.0,8790.0,2895.2475081658426,load
3610.0,8790.0,2885.821174665188,load
3615.0,8860.0,2838.675914477117,load
3620.0,8860.0,2840.2351389729374,load
3625.0,8860.0,2854.11856532777,load
3630.0,8860.0,2881.068408734821,load
3635.0,8860.0,2891.6456286293487,load
3640.0,8860.0,2892.70186035755,load
3645.0,9010.0,2893.3381954121746,load
3650.0,9010.0,2841.342220478733,load
3655.0,9010.0,2838.848917132302,load
3660.0,8860.0,2896.1628646580084,load
3665.0,8860.0,2843.3286784005004,load
3670.0,8860.0,2895.389280674049,load
3675.0,8860.0,2839.876976557377,load
3680.0,8860.0,2887.563201455164,load
3685.0,8940.0,2843.244182173699,load
3690.0,8940.0,2894.008731923588,load
3695.0,8940.0,2845.792657712281,load
3700.0,8860.0,2831.641430886202,load
3705.0,8860.0,2842.205454001065,load
3710.0,8860.0,2901.9074187929446,load
3715.0,8860.0,2839.8514573373523,load
3720.0,8860.0,2890.6439748508105,load
3725.0,8860.0,2842.1787214098313,load
3730.0,8790.0,2888.9230117123925,load
3735.0,8790.0,2837.3003305639963,load
3740.0,8790.0,2890.771501908473,load
3745.0,8940.0,2838.4767268854434,load
3750.0,8940.0,2893.259088188692,load
3755.0,8940.0,2833.957616999753,load
3760.0,8790.0,2882.578421842008,load
3765.0,8790.0,2840.7441949446397,load
3770.0,8790.0,2898.056034098465,load
3775.0,8790.0,2834.5010117400093,load
3780.0,8860.0,2893.63572543939,load
3785.0,8860.0,2837.939643598303,load
3790.0,8860.0,2889.971840655153,load
3795.0,8860.0,2834.6788451763,load
3800.0,8860.0,2831.0495401014,load
3805.0,8860.0,2836.0732830137076,load
3810.0,8860.0,2890.435033969646,load
3815.0,8860.0,2841.780512319895,load
3820.0,8860.0,2893.4397784101684,load
3825.0,8860.0,2836.412735499768,load
3830.0,8860.0,2897.8909546539408,load
3835.0,8860.0,2841.5456128188516,load
3840.0,8940.0,2899.0985362772053,load
3845.0,8940.0,2837.062780481505,load
3850.0,8940.0,2889.8504970117706,load
3855.0,8790.0,2835.685710488882,load
3860.0,8790.0,2888.582159727683,load
3865.0,8860.0,2841.8667217677075,load
3870.0,8860.0,2892.860388495401,load
3875.0,8860.0,2836.8552021358696,load
3880.0,8860.0,2841.5578208318134,load
3885.0,8860.0,2835.4199975991364,load
3890.0,8860.0,2897.4221540760764,load
3895.0,8860.0,2835.5750456042015,load
3900.0,8860.0,2887.6760894578574,load
3905.0,8860.0,2838.005663541364,load
3910.0,8790.0,2890.2171577209183,load
3915.0,8790.0,2830.536057476014,load
3920.0,8790.0,2896.344116720042,load
3925.0,8860.0,2841.619176016588,load
3930.0,8860.0,2888.7323657805737,load
3935.0,8860.0,2836.0970292089196,load
3940.0,8790.0,2897.9905635647706,load
3945.0,8790.0,2839.053882704972,load
3950.0,8790.0,2886.10014968499,load
3955.0,8790.0,2836.325239276711,load
3960.0,8790.0,2896.5347387730153,load
3965.0,8790.0,2836.8970266208994,load
3970.0,8790.0,2895.161216140931,load
3975.0,8790.0,2840.8412292792145,load
3980.0,8790.0,2890.0657209713713,load
3985.0,8790.0,2843.985974386798,load
3990.0,9010.0,2890.855539820481,load
3995.0,9010.0,2839.2577279315665,load
4000.0,9010.0,2892.6248692575145,load
4005.0,8790.0,2838.172984284515,load
4010.0,8790.0,2894.5201704517344,load
4015.0,8790.0,2841.7606919723316,load
4020.0,8940.0,2884.1852310189784,load
4025.0,8940.0,2831.488500121315,load
4030.0,8940.0,2897.3331153877107,load
4035.0,8860.0,2837.37064393401,load
4040.0,8860.0,2885.3329227064974,load
4045.0,8860.0,2833.8367990065,load
4050.0,8860.0,2893.767123178126,load
4055.0,8860.0,2834.6729241259804,load
4060.0,8860.0,2889.541850995576,load
4065.0,8860.0,2839.977069242797,load
4070.0,8860.0,2891.5285636809544,load
4075.0,8860.0,2839.864350769349,load
4080.0,8860.0,2887.3216390332177,load
4085.0,8860.0,2841.432558219268,load
4090.0,8790.0,2896.1935979630193,load
4095.0,8790.0,2860.3875791462874,load
4100.0,8790.0,2884.036390504646,load
4105.0,8940.0,2840.216486377563,load
4110.0,8940.0,2891.1385225918066,load
4115.0,8940.0,2840.97707967234,load
4120.0,8860.0,2888.023435423275,load
4125.0,8860.0,2833.8186751344174,load
4130.0,8860.0,2875.624386862225,load
4135.0,8860.0,2836.2761715183588,load
4140.0,8860.0,2893.268407916162,load
4145.0,8860.0,2835.1206612124133,load
4150.0,8860.0,2885.444017925716,load
4155.0,8790.0,2888.017768248632,load
4160.0,8790.0,2885.508761232089,load
4165.0,8790.0,2892.2638689200962,load
4170.0,8940.0,2833.4982813279503,load
4175.0,8940.0,2841.3789608725974,load
4180.0,8940.0,2831.8286532966704,load
4185.0,8790.0,2831.8762249469664,load
4190.0,8790.0,2886.7325069283,load
4195.0,8790.0,2879.618789952044,load
4200.0,8940.0,3793.2669519200226,load
4205.0,8940.0,3830.1588233135753,load
4210.0,8940.0,3818.78550968775,load
4215.0,8940.0,3813.8304779107293,load
4220.0,8940.0,3823.744616026369,load
4225.0,8940.0,3837.6538850594557,load
4230.0,8940.0,3821.5510172095796,load
4235.0,8940.0,3832.692806865772,load
4240.0,8860.0,3814.488980990954,load
4245.0,8860.0,3816.589560839272,load
4250.0,8860.0,3810.2785901651637,load
