ElapsedSeconds,Throughput_Ethernet_Mbps,Throughput_Ethernet_5_Mbps,Throughput_Ethernet_6_Mbps,Throughput_Ethernet_7_Mbps
1320,955.1489209132177,18441.886299625196,0,0
1325,955.6405558709089,18441.886299625196,0,0
1330,954.3069197392518,18441.886299625196,0,0
1335,954.9292881392446,18441.886299625196,0,0
1340,955.2051571479193,18441.886299625196,0,0
1345,954.6888761173216,18441.886299625196,0,0
1350,954.8993119785114,18441.886299625196,0,0
1355,954.1190955141802,18441.886299625196,0,0
1360,955.2282159182919,18441.886299625196,0,0
1365,955.2910239058874,18441.886299625196,0,0
1370,955.2572753038141,18441.886299625196,0,0
1375,955.2878364359417,18441.886299625196,0,0
1380,954.4569141789896,18441.886299625196,0,0
1385,954.7088199966124,18441.886299625196,0,0
1390,955.8304813335163,18441.886299625196,0,0
1395,955.2673058892731,18441.886299625196,0,0
1400,955.4959103416215,18441.886299625196,0,0
1405,955.3206496441392,18441.886299625196,0,0
1410,955.4518312410595,18441.886299625196,0,0
1415,954.9248852727262,18441.886299625196,0,0
1420,954.4703907224857,18441.886299625196,0,0
1425,954.2571503438971,18441.886299625196,0,0
1430,954.3885078723215,18441.886299625196,0,0
1435,954.9333163292833,18441.886299625196,0,0
1440,954.6647198582888,18441.886299625196,0,0
1445,954.6556381701182,18441.886299625196,0,0
1450,954.9802519319595,18441.886299625196,0,0
1455,955.0134187923921,18441.886299625196,0,0
1460,954.9951486266542,18441.886299625196,0,0
1465,954.8703680342842,18441.886299625196,0,0
1470,954.6157556883413,18441.886299625196,0,0
1475,954.5217735360062,18441.886299625196,0,0
1480,954.9228243704337,18441.886299625196,0,0
1485,955.2854927216107,18441.886299625196,0,0
1490,954.0848685864498,18441.886299625196,0,0
1495,954.950366254154,18441.886299625196,0,0
1500,954.6234323389942,18441.886299625196,0,0
1505,954.8167935831406,18441.886299625196,0,0
1510,955.3844074647578,18441.886299625196,0,0
1515,954.9578609192547,18441.886299625196,0,0
1520,955.0005827567574,18441.886299625196,0,0
1525,954.9343468019614,18441.886299625196,0,0
1530,955.2233416138769,18441.886299625196,0,0
1535,954.4345477002252,18441.886299625196,0,0
1540,954.9317237849735,18441.886299625196,0,0
1545,954.5635202953166,18441.886299625196,0,0
1550,954.5302910760334,18441.886299625196,0,0
1555,955.2209044803235,18441.886299625196,0,0
