ElapsedSeconds,Throughput_Ethernet_Mbps,Throughput_Ethernet_5_Mbps,Throughput_Ethernet_6_Mbps,Throughput_Ethernet_7_Mbps
1570,954.9375319133909,0,0,0
1575,955.511010713437,0,0,0
1580,955.2778991661703,0,0,0
1585,954.5400255936302,0,0,0
1590,954.5734427079284,0,0,0
1595,955.2481823382848,0,0,0
1600,955.0176350837606,0,0,0
1605,954.9355646361756,0,0,0
1610,954.9256346939472,0,0,0
1615,954.563145868691,0,0,0
1620,955.3304002890059,0,0,0
1625,955.0389044989155,0,0,0
1630,955.2416205119348,0,0,0
1635,955.0433084169147,0,0,0
1640,954.9030588956828,0,0,0
1645,954.9277892865099,0,0,0
1650,955.3161494136403,0,0,0
1655,955.3126805149014,0,0,0
1660,955.7091417841757,0,0,0
1665,955.1293335130899,0,0,0
1670,954.8693376996808,0,0,0
1675,954.9469000113307,0,0,0
1680,954.8014341850728,0,0,0
1685,954.809207477213,0,0,0
1690,954.860064788308,0,0,0
1695,954.7534860728729,0,0,0
1700,955.3995980831659,0,0,0
1705,955.486906620347,0,0,0
1710,955.0005827567574,0,0,0
1715,955.007890822335,0,0,0
1720,954.5148472968397,0,0,0
1725,954.4193877542017,0,0,0
1730,954.6021814253462,0,0,0
1735,954.9838121060392,0,0,0
1740,954.8302802913265,0,0,0
1745,954.783640378341,0,0,0
1750,955.4284803442985,0,0,0
1755,954.358004254007,0,0,0
1760,954.8944410301483,0,0,0
1765,955.0192279146329,0,0,0
1770,954.49013828957,0,0,0
1775,955.6082835531515,0,0,0
1780,954.5874842103477,0,0,0
1785,955.1085286377847,0,0,0
1790,954.4624357723193,0,0,0
1795,954.1778294074109,0,0,0
1800,791.8684607177634,827.3662956367588,0,0
1805,836.5647252528481,859.9952877586078,0,0
1810,845.3956054707365,821.5091368368373,0,0
1815,824.7365130184259,826.6974532229192,0,0
1820,797.7972855860672,837.2651851594657,0,0
1825,838.8796893079655,807.9297959714165,0,0
1830,824.5972821581738,865.3597653891949,0,0
1835,823.319330399147,818.9396701697203,0,0
1840,866.8340475162859,826.5224714121089,0,0
1845,775.9186144430414,818.2581678821676,0,0
1850,824.2931391022754,859.3412152964213,0,0
1855,838.4255757712367,802.2948843534921,0,0
1860,822.7849342387797,812.0776851103539,0,0
1865,824.4683818506222,848.8752961417173,0,0
1870,833.6846095895984,795.6477013014756,0,0
1875,835.5740504052807,791.4342088561956,0,0
1880,832.0524968224315,865.1420071519578,0,0
1885,863.4964400823496,837.1921797814239,0,0
1890,857.7886543457918,853.6383632862294,0,0
1895,833.6385617141983,819.559684582741,0,0
1900,808.5614972182013,801.1998998691078,0,0
1905,824.0786649478434,807.702402486385,0,0
1910,831.8698299719426,844.3162870719367,0,0
1915,819.5879583081195,827.9636953370655,0,0
1920,790.8700513411862,769.9405840232386,0,0
1925,831.6129326355793,836.1339130183424,0,0
1930,835.9408752833713,829.467667656292,0,0
1935,826.90241480834,803.0736352399805,0,0
1940,840.8392435638168,806.6622508941938,0,0
1945,837.320991905478,832.239512335177,0,0
1950,838.4747146157445,868.480091670464,0,0
1955,803.4622556743725,832.0709221574034,0,0
1960,833.5868185172352,822.9566420827052,0,0
1965,782.7519366283423,781.0953802748701,0,0
1970,802.2876933308609,837.1355550871328,0,0
1975,818.8831431622731,814.0053620988139,0,0
1980,813.1981122586609,786.785031745114,0,0
1985,834.9596520499556,840.000889351831,0,0
1990,853.4715882048318,862.8715440948923,0,0
1995,798.572098840945,804.5167832482265,0,0
2000,811.0390067275374,826.4967474345074,0,0
2005,856.1552778516352,832.912986022236,0,0
2010,857.0112981251492,851.8583410338593,0,0
2015,805.4563543938852,800.7917324555038,0,0
2020,854.2312679709083,853.0481904509369,0,0
2025,856.0352534217324,863.0415206634193,0,0
2030,822.0306889106183,811.7772907827737,0,0
2035,854.6095996564916,840.7921337300287,0,0
2040,848.4966007785395,842.0465396307677,0,0
2045,860.458001044905,816.7167119523868,0,0
2050,838.3607110930383,805.5302923761972,0,0
2055,837.7744049117165,845.7244024502926,0,0
2060,851.4656434688404,834.4436410961603,0,0
2065,844.4055446749296,826.0693868500144,0,0
2070,833.6147943877327,856.4759675814958,0,0
2075,827.3493399671667,823.7014824858537,0,0
2080,800.2923037216867,826.3980864200273,0,0
2085,811.9636755998644,824.2322473451079,0,0
2090,821.6201355091638,821.4881469821206,0,0
2095,815.3925308155237,824.8616826211091,0,0
2100,835.1779550282209,830.4753866912154,0,0
2105,834.7086656279394,835.3395744562245,0,0
2110,5220.221741190015,837.8928546359341,0,0
2115,855.2556649051501,850.9548893470339,0,0
2120,830.9673625933531,799.8743554069941,0,0
2125,872.9402710372685,882.742294863788,0,0
2130,863.1926956345253,859.61393499695,0,0
2135,854.6312916616479,841.5691611968475,0,0
2140,817.773167222562,821.9025934358859,0,0
2145,832.7459409391047,832.6768612261791,0,0
2150,865.627950830975,868.2520346132947,0,0
2155,779.6543600107531,779.7213949323851,0,0
2160,828.0100988104288,828.9580137250853,0,0
2165,809.5374329804857,809.5085882068605,0,0
2170,801.1693655883809,801.9730612327314,0,0
2175,821.5872349491203,821.5733193682707,0,0
2180,813.4549911750319,810.3750532765871,0,0
2185,834.0503201145684,808.9481331754819,0,0
2190,826.933865492086,830.1711557765976,0,0
2195,838.5600941086747,836.9230720131233,0,0
2200,794.4876948598625,804.4359697231334,0,0
2205,834.6917431991922,825.3736542186465,0,0
2210,823.7987078741417,818.574329057984,0,0
2215,859.226068171673,13596.715050541834,0,0
2220,837.6032306355407,834.3099062221587,0,0
2225,798.5472279492551,825.112866012569,0,0
2230,852.8608820466635,824.1630349187966,0,0
2235,853.8970311758384,851.7620654590627,0,0
2240,847.8248337871507,872.4070117929826,0,0
2245,809.5135097516718,822.5887037856273,0,0
2250,834.7000307954538,838.7707313250658,0,0
2255,827.0143840543395,821.3221984925825,0,0
2260,819.5580562773747,823.3313629186074,0,0
2265,808.7629750449968,828.2871573146464,0,0
2270,803.5714356683347,821.5190022125194,0,0
2275,810.9104292207932,852.9785567507073,0,0
2280,830.5679407663603,806.61339108419,0,0
2285,822.0276289680985,816.3256570873859,0,0
2290,828.1752491305817,853.7076376692005,0,0
2295,820.4510094951786,828.0310964573932,0,0
2300,820.3377602597209,818.5027902794844,0,0
2305,872.1086425906003,847.929164592775,0,0
2310,909.3128715028631,23215.34526680473,0,0
2315,954.9766917844242,37485.28578579569,0,0
2320,731.4493100033658,747.9909692464312,0,0
2325,766.3015772295504,738.2198760445474,0,0
2330,752.0125448722005,759.5052371550252,0,0
2335,728.7503938633376,729.8899336845291,0,0
2340,779.1100432722703,742.3632187323192,0,0
2345,794.1125588578016,768.3992663468356,0,0
2350,763.5264024457302,782.5836051937248,0,0
2355,760.4743774475675,768.5055999388402,0,0
2360,756.7148480355463,755.9318240099967,0,0
2365,738.1581575745433,726.8644187343054,0,0
2370,769.9260717501937,769.1498871870222,0,0
2375,761.500701374438,737.6557962295747,0,0
2380,823.8138311898297,37441.10894568735,0,0
2385,751.6419195012078,752.4960887664578,0,0
2390,723.0086589411106,732.2904474606518,0,0
2395,818.7042496406159,808.2906548171611,0,0
2400,718.9497966291196,710.5322236045095,0,0
2405,753.1085116993041,735.0278155144542,0,0
2410,794.0836964922947,802.3335582859723,0,0
2415,765.0814842533545,758.7879438347654,0,0
2420,5078.486436339444,760.6637207422043,0,0
2425,779.8987749657713,759.0898047310277,0,0
2430,794.3483940798202,778.9010504515505,0,0
2435,767.0234458486617,759.8315989049363,0,0
